,Target,ra[rad],dec[rad],ra[h:m:s],dec[d:m:s],ObservationTimeAtGaia[UTC],CcdRow[1-7],zetaFieldAngle[rad],scanAngle[rad],Fov[FovP=preceding/FovF=following],parallaxFactorAlongScan,parallaxFactorAcrossScan,ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
59,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:07:53.577,5,-0.002070448513170706,2.156900817808362,FOV1,0.2735252449327255,0.7076295834285694,2456985.0027302103
60,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:07:58.433,5,-0.0020685582200426385,2.1568970852707983,FOV1,0.2735288313794116,0.7076283501316499,2456985.002786407
61,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:03.288,5,-0.0020666679003884083,2.156893352746558,FOV1,0.27353241781193866,0.7076271168207668,2456985.0028426037
62,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:08.143,5,-0.002064777554239539,2.1568896202356265,FOV1,0.2735360042303184,0.7076258834959167,2456985.0028988
63,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:12.998,5,-0.0020628871816311084,2.1568858877379835,FOV1,0.273539590634565,0.7076246501570937,2456985.002954997
64,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:17.854,5,-0.002060996782605296,2.1568821552536086,FOV1,0.27354317702469244,0.7076234168042936,2456985.0030111936
65,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:22.709,5,-0.0020591063572087277,2.15687842278248,FOV1,0.2735467634007169,0.7076221834375089,2456985.0030673905
66,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:27.564,5,-0.0020572159054919386,2.1568746903245684,FOV1,0.2735503497626585,0.7076209500567331,2456985.0031235875
67,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T12:08:32.420,5,-0.0020553254275125984,2.156870957879847,FOV1,0.2735539361105367,0.7076197166619589,2456985.003179784
68,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T13:54:21.935,4,0.0004395253140090681,2.152001304530917,FOV2,0.2782318427388385,0.7059948747637493,2456985.076670952
69,target,3.443839488191353,-1.052579239493871,13:09:16.192,-60:18:30.053,2014-11-23T13:54:27.773,4,0.00044183997507826143,2.151996837599224,FOV2,0.2782361327622072,0.7059933699228793,2456985.076738525
